id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/3300730	10.2307/3300730	"Will the Big Boys Finally Love You": The Impossibility of Black Male Homoerotic Desire and the Taboo of Black Homosexual Solidarity in Thomas Glave's "Whose Song?"	Éva Tettenborn	Callaloo	26	3	2003-07-01T00:00:00Z	pp. 855-866	The Johns Hopkins University Press	fla			
10.2307/41157371	10.2307/41157371	Remembering Lulu and Albertine: Intertextual Constellations in Louise Erdrich's "Love Medicine"	Achim Hescher	Amerikastudien / American Studies	43	2	1998-01-01T00:00:00Z	pp. 301-312	Universitätsverlag WINTER Gmbh	fla		Louise Erdrich's family remembrance may be read as a counterproject in respect of A la recherche du temps perdu and the Lulu dramas. The narrator-protagonist Albertine Johnson, who is in Marcel's position, does not adopt the latter's egocentric and pleasure-oriented metaphysics but prefers to pass on the narrator-voice to the members of her tribal family. Thus Albertine draws the attention away from the self to the other as an individual part of the plural family body.—Erdrich's and Wedekind's Lulus appear as similar in their (metaphorical) origin, biography, and man-eating. Lulu Lamartine, however, incarnates life-giving rather than death-bringing nature and therefore represents the motherly female rather than the femme fatale type, who in Wedekind exclusively brings death to her lovers while hastening toward her tragic end.	
10.2307/25165410	10.2307/25165410	Myth and Movie Making: Karl Brown and the Making of "Stark Love"	John White	Film History	19	1	2007-01-01T00:00:00Z	pp. 49-57	Indiana University Press	fla		A notable early example of the docu-drama feature, "Stark Love" (1927) was filmed on location in the North Carolina mountains with a local cast of non-professionals. Since its rediscovery in the late 1960s it has been of great interest to both film historians and students of Appalachia. Through the use of personal papers, memoirs and other local history resources, this paper clarifies many of the myths surrounding its production and reception.	
10.2307/20870430	10.2307/20870430	LOVE AND METAPHOR IN CONRAD	JULIET McLAUCHLAN	The Journal of The Joseph Conrad Society (U.K.)	2	1	1975-08-01T00:00:00Z	pp. 6-8	Joseph Conrad Society UK	fla			
10.2307/20721978	10.2307/20721978	The man who has come to love rivers	MICHAEL JOYCE	The Iowa Review	39	1	2009-04-01T00:00:00Z	p. 162	University of Iowa	fla			
10.2307/41513183	10.2307/41513183	WAR OF LOVE	Bryn Griffiths	The Transatlantic Review		41	1972-01-01T00:00:00Z	p. 105	Joseph F. McCrindle Foundation	fla			
10.2307/3749724	10.2307/3749724	The Phenomena of Love and Hate	D. W. Hamlyn	Philosophy	53	203	1978-01-01T00:00:00Z	pp. 5-20	Cambridge University Press, Royal Institute of Philosophy	fla			
10.2307/40351235	10.2307/40351235	Drum as Love, Fear, and Prayer	Sherman Alexie	Ploughshares	20	1	1994-04-01T00:00:00Z	pp. 44-50	Emerson College	fla			
10.2307/2904858	10.2307/2904858	Alvaro De Luna, Juan De Mena and the Power of Courtly Love	Julian Weiss	MLN	106	2	1991-03-01T00:00:00Z	pp. 241-256	The Johns Hopkins University Press	fla			
10.1525/gfc.2008.8.3.98	10.1525/gfc.2008.8.3.98	Queen of de-Nile: Or, How I Learned to Stop Worrying and Love Cairo	zora o'neill	Gastronomica: The Journal of Food and Culture	8	3	2008-08-01T00:00:00Z	pp. 98-99	University of California Press	fla			
10.2307/25008257	10.2307/25008257	Love and Logic	Iain Bamforth	Grand Street		63	1998-01-01T00:00:00Z	p. 71	Ben Sonnenberg, Jean Stein	fla			
10.2307/4603677	10.2307/4603677	Love's Sweet Poison: A New Reading of Bronzino's London "Allegory"	Robert W. Gaston	I Tatti Studies: Essays in the Renaissance	4		1991-01-01T00:00:00Z	pp. 249-288	Casa Editrice Leo S. Olschki s.r.l., The University of Chicago Press, Villa I Tatti, The Harvard Center for Italian Renaissance Studies	fla			
10.2307/20496920	10.2307/20496920	St. Thomas Aquinas and the Sacrament of Love	M. J. Byrnes	The Irish Monthly	11	117	1883-03-01T00:00:00Z	pp. 142-147	Irish Jesuit Province	fla			
10.2307/965875	10.2307/965875	Labour of Love	Gordon Reynolds	The Musical Times	133	1788	1992-02-01T00:00:00Z	p. 98	Musical Times Publications Ltd.	brv	The Succession of Organists of the Chapel Royal and the Cathedrals of England and Wales from C.1538|Watkins Shaw		
10.2307/2707257	10.2307/2707257	Self-Love and the Doctrine of Work	Henry W. Sams	Journal of the History of Ideas	4	3	1943-06-01T00:00:00Z	pp. 320-332	University of Pennsylvania Press	fla			
10.2307/40004766	10.2307/40004766	"Straight" Women, Queer Texts: Boy-Love Manga and the Rise of a Global Counterpublic	Andrea Wood	Women's Studies Quarterly	34	1/2	2006-04-01T00:00:00Z	pp. 394-414	The Feminist Press at the City University of New York	fla			
10.2307/23065359	10.2307/23065359	Falling in Love With Euripides ("Andromeda")	JOHN GIBERT	Illinois Classical Studies	24/25		1999-01-01T00:00:00Z	pp. 75-91	University of Illinois Press	fla			
10.2307/910600	10.2307/910600	Extra Supplement: Dream-Love	Christina Rosetti, Percy E. Fletcher	The Musical Times	62	939	1921-05-01T00:00:00Z	pp. 1-8	Musical Times Publications Ltd.	fla			
10.2307/1475967	10.2307/1475967	Youth: Society's Hope for Love	William F. Pilder	Theory into Practice	13	5	1974-12-01T00:00:00Z	pp. 350-353	Taylor & Francis, Ltd.	fla			
10.2307/23006991	10.2307/23006991	& OTHER ACTS OF LOVE	MERCY BONA	The Agni Review		5/6	1976-01-01T00:00:00Z	p. 106	Agni	fla			
10.2307/3787776	10.2307/3787776	Scientific Truth...and Love: The Marriage Education Movement in the United States	Beth L. Bailey	Journal of Social History	20	4	1987-07-01T00:00:00Z	pp. 711-732	Oxford University Press	fla			
10.2307/505039	10.2307/505039	The Loves of Theseus: An Early Cup by Oltos	Jenifer Neils	American Journal of Archaeology	85	2	1981-04-01T00:00:00Z	pp. 177-179	Archaeological Institute of America	fla			
10.2307/30003825	10.2307/30003825	To Tell You I Love You Were Useless and Vain	C. M. C.	The Dublin Penny Journal	4	195	1836-03-26T00:00:00Z	p. 312	Dublin Penny Journal	fla			
10.2307/40400667	10.2307/40400667	Erratum: The Love of Wisdom: A Marxist Meditation		Science & Society	23	4	1959-10-01T00:00:00Z	p. 357	Guilford Press	fla			
10.2307/3512570	10.2307/3512570	God, Love, and Health: Findings from a Clinical Study	Jeff Levin	Review of Religious Research	42	3	2001-03-01T00:00:00Z	pp. 277-293	Religious Research Association, Inc.	fla		This study identifies a significant health effect of a loving relationship with God. Based on work by Sorokin, an eight-item scale was developed and validated to assess what he termed "religious love:" the feeling of loving and being loved by God. Using a sample of 205 family practice outpatients, hierarchical OLS regression was used to investigate the effect of this construct on a standard self-rating of health. Several sets of factors were hypothesized to mediate the relationship between religious love and self-rated health: religious involvement, social resources, psychological resources, objective health status, and sociodemographic factors. These effects were controlled for in six successive models. In the end, despite controlling for effects of 15 variables and scales that accounted for nearly 40% of the variance in self-rated health, the statistically significant association between religious love and self-rated health at baseline (β = .33, p < .001) remained strong, significant, and only marginally affected (β = .24, p < .05). These findings provide evidence that loving and being loved by God exerts a positive influence on perceptions of health.	
10.2307/41957431	10.2307/41957431	Love's Last Token: The Desire for Lost Lives and Origins	Christina Houen	Antipodes	19	1	2005-06-01T00:00:00Z	pp. 76-82		fla			
10.2307/23075025	10.2307/23075025	"Love Your Fellow as Yourself": The Interpretation of Leviticus 19:17–18 in the Book of "Jubilees"	Atar Livneh	Dead Sea Discoveries	18	2	2011-01-01T00:00:00Z	pp. 173-199	BRILL	fla		Leviticus 19:17–18 has long been noted as possessing a significant role within the book of Jubilees. This paper examines the references to these verses, both explicit and via phrases alluding to the ordinance. Two specific aspects of the law are alluded to in Jubilees: "You shall not hate your kinsfolk in your heart" (Lev 19:17a) and "Love your fellow as yourself" (Lev 19:18b). The author of Jubilees understands the first as relating to peaceful coexistence, the second to malicious intent, specifically the intent to murder. This exegesis is consistent throughout Jubilees, as attested by the usage of fixed terms and idioms depicting the observance/violation of the law across various literary units.	
10.2307/25163323	10.2307/25163323	Migration for Labor, Migration for Love: Marriage and Family Formation across Borders	Suzanne Sinke	OAH Magazine of History	14	1	1999-10-01T00:00:00Z	pp. 17-21	Organization of American Historians	fla			
10.2307/4430511	10.2307/4430511	The Meadow of Love and Two Passages in Euripides' "Hippolytus"	J. M. Bremer	Mnemosyne	28	3	1975-01-01T00:00:00Z	pp. 268-280	BRILL	fla			
10.2307/27905206	10.2307/27905206	DEWDROPS OF THE LAW OF KINDNESS. NO. 3. THE LAW OF LOVE	ELIHU BURRITT	Advocate of Peace (1847-1884)	3	37	1872-01-01T00:00:00Z	p. 4	World Affairs Institute	fla			
10.2307/40872620	10.2307/40872620	LITERATURE AND LOVE	Frances W. Pritchett, Intizar Husain	Journal of South Asian Literature	18	2	1983-07-01T00:00:00Z	pp. 144-148	Asian Studies Center, Michigan State University	fla			
10.2307/27706663	10.2307/27706663	The Language of Love in Chaucer's Miller's and Reeve's Tales and in the Old French Fabliaux	Gardiner Stillwell	The Journal of English and Germanic Philology	54	4	1955-10-01T00:00:00Z	pp. 693-699	University of Illinois Press	fla			
10.2307/4337433	10.2307/4337433	For a Friend Whose Love Has Left	Lynne Knight, Lynn Knight	The Kenyon Review	18	3/4	1996-07-01T00:00:00Z	p. 157	Kenyon College	fla			
10.2307/40539389	10.2307/40539389	For Both Love and Money: Viviana Zelizer's the Purchase of Intimacy	Martha M. Ertman	Law & Social Inquiry	34	4	2009-10-01T00:00:00Z	pp. 1017-1037	American Bar Foundation, Wiley	brv	The Purchase of Intimacy|Viviana A. Zelizer	Viviana Zelizer's recent book, The Purchase of Intimacy (2005), presents an innovative theory of how social and lega actors negotiate nghts and obligations when money changes hands in intimate relationships—a perspective that could change how we understand many things, from valuations of homemaking labor to the 9/11 Victim Compensation Fund. This essay describes Zelizer's critique of the reductionist "Hostile Worlds" and "Nothing But" approaches to economic exchange in intimate relationships and then explains her more three-dimensional approach, "Connected Lives." While Zelizer focuses on family law, the essay goes beyond that context, extending Zelizer's approach to transfers of genetic material and concluding that her approach could point toward a more equitable resolution of disputes in and about these markets.	
10.2307/60200229	10.2307/60200229	The Political queen that Jack loves: with thirteen cuts.		Cowen Tracts			1820-01-01T00:00:00Z			fla			
10.1086/673080	10.1086/673080	<i>For Love and Money: Care Provision in the United States</i> edited by Nancy Folbre	Jennifer L. Hook	American Journal of Sociology	119	3	2013-11-01T00:00:00Z	pp. 884-886	The University of Chicago Press	brv	For Love and Money: Care Provision in the United States|Nancy Folbre		
10.2307/20625690	10.2307/20625690	The Sliotar of Love	John Dunne	Books Ireland		100	1986-02-01T00:00:00Z	pp. 23-24	Books Ireland	brv	Faillandia|Francis Stuart, Eve's Apple|Emma Cooke, Schnitzer O'Shea|Donall McAmhlaigh		
10.2307/41205476	10.2307/41205476	Malamud and the Theme of Love and Sex	Steven J. Rubin	Studies in American Jewish Literature (1975-1979)	4	1	1978-04-01T00:00:00Z	pp. 19-23	Penn State University Press	fla			
10.2307/23335955	10.2307/23335955	Sindhi: Of Love And Pathos	Param Abichandani	Indian Literature	38	1 (165)	1995-01-01T00:00:00Z	pp. 166-169	Sahitya Akademi	brv	Hathayogi (Novel)|Tara Mirchandani		
10.2307/42725272	10.2307/42725272	"Raising a child takes love. Understanding. Patience. And money"		Young Children	47	2	1992-01-01T00:00:00Z	pp. 30-31		fla			
10.2307/23022138	10.2307/23022138	Tusquets, Fitzgerald and the Redemptive Power of Love	Mary S. Vásquez	Letras Femeninas	14	1/2	1988-04-01T00:00:00Z	pp. 10-21	Asociacion Internacional de Literatura y Cultura Femenina Hispanica	fla			
10.2307/40479513	10.2307/40479513	Love: The Enduring Prerequisite at the Heart of Museum Work	Elaine Heumann Gurian	The Journal of Museum Education	24	3	1999-10-01T00:00:00Z	pp. S7-S9	Maney Publishing	fla			
10.2307/823151	10.2307/823151	Being in Love	Janet Hadda	PMLA	117	3	2002-05-01T00:00:00Z	pp. 498-500	Modern Language Association	fla			
10.2307/23261058	10.2307/23261058	Good news for the people who love bad news: an analysis of the funding of the top 1% most highly cited ecologists	Christopher J. Lortie, Lonnie Aarssen, John N. Parker, Stefano Allesina	Oikos	121	7	2012-07-01T00:00:00Z	pp. 1005-1008	Nordic Society Oikos, Wiley	fla		The most highly cited ecologists and environmental scientists provide both a benchmark and unique opportunity to consider the importance of research funding. Here, we use citation data and self-reported funding levels to assess the relative importance of various factors in shaping productivity and potential impact. The elite were senior Americans, well funded, with large labs. In contrast to Canadian NSERC grant holders (not in the top 1%), citations per paper did not increase with higher levels of funding within the ecological elite. We propose that this is good news for several reasons. It suggests that the publications generated by the top ecologists and environmental scientists are subject to limitations, that higher volume of publications is always important, and that increased funding to ecologists in general can shift our discipline to wider research networks. As expected, collaboration was identified as an important factor for the elite, and hopefully, this serves as a positive incentive to funding agencies since it increases the visibility of their research.	
10.2307/581597	10.2307/581597	Censorship and the Languages of Love	Judah Bierman	The Family Life Coordinator	14	1	1965-01-01T00:00:00Z	pp. 10-16	National Council on Family Relations	fla			
10.2307/20155283	10.2307/20155283	Fool for Love	William Trowbridge	The Iowa Review	33	2	2003-10-01T00:00:00Z	p. 138	University of Iowa	fla			
10.2307/20603252	10.2307/20603252	Love's Interest	Ioanna Carlsen	Poetry	160	4	1992-07-01T00:00:00Z	p. 200	Poetry Foundation	fla			
10.2307/41152594	10.2307/41152594	The Changing Faces of Love In English Renaissance Comedy	Ejner J. Jensen	Comparative Drama	6	4	1972-12-01T00:00:00Z	pp. 294-309	Comparative Drama	fla			
10.2307/25112495	10.2307/25112495	A White Man in Love: A Study of Race, Gender, Class, and Ethnicity in Jack Kerouac's Maggie Cassidy, "The Subterraneans, and Tristessa"	Nancy McCampbell Grace	College Literature	27	1	2000-01-01T00:00:00Z	pp. 39-62	College Literature	fla			
10.2307/25576817	10.2307/25576817	An Unvandalized Love	Pat Galvin	The Poetry Ireland Review		26	1989-07-01T00:00:00Z	pp. 36-37	Poetry Ireland	fla			
10.2307/25625457	10.2307/25625457	Love on a Rock	C. L. Dallat	The Poetry Ireland Review		87	2006-08-01T00:00:00Z	pp. 6-7	Poetry Ireland	fla			
10.2307/25625080	10.2307/25625080	Love Affair with Firearms	Medbh McGuckian	The Poetry Ireland Review		47	1995-10-01T00:00:00Z	p. 44	Poetry Ireland	fla			
10.2307/23545280	10.2307/23545280	BROTHERLY LOVE: Part V (Conclusion) WE SING SO THAT OTHERS MAY LIVE	CALVIN BULLER	The Choral Journal	18	5	1978-01-01T00:00:00Z	p. 18		mis			
10.2307/1336261	10.2307/1336261	Parent and Child. Child's Loss of Society, Love, and Affection Supports Action against Mother's Enticer despite No Loss of Support		Harvard Law Review	63	3	1950-01-01T00:00:00Z	pp. 541-543	The Harvard Law Review Association	fla			
10.2307/1389548	10.2307/1389548	The End of Romance: The Demystification of Love in the Postmodern Age	James J. Dowd, Nicole R. Pallotta	Sociological Perspectives	43	4	2000-12-01T00:00:00Z	pp. 549-580	University of California Press	fla		We focus on the changing understanding of romance in contemporary American society. Through an analysis of romantic comedies and dramas produced in Hollywood between 1930 and the present, we demonstrate how the decline of the romantic drama is due to significant social and cultural change, the most important of which is the weakening of norms governing the choice of romantic partners. The romantic comedy, however, has more than compensated for the decline in dramas, with the decade of the 1990s seeing more romantic films produced than in any previous time in the history of filmmaking. Although the contemporary romantic comedy almost invariably reinforces the most conservative tendencies in our culture, we argue that these films nonetheless work effectively to reinforce a usable cultural script governing romantic behavior. By depicting ideal culture as a real possibility, the romantic comedy nurtures the utopian wish of "slipping one over on modernity." /// [Spanish] En este artículo, nos enfocamos en el cambio del entendimiento del romance en la sociedad contemporánea Norteamericana. A través de un análisis de comedias románticas y dramas producidos en Hollywood entre 1930 y el presente, demostramos cómo la disminución del drama romántico se ha debido a cambios significativos sociales y culturales, entre los cuales, el más importante es el debilitamiento de normas que gobiernan la selección de compañeros románticos. La comedia romántica, durante la década de los noventa en que se han producido más películas románticas que en ningún otro momento en la historia de la filmación, ha compensado por la disminución en dramas. Aunque la comedia contemporánea romántica, invariablemente refuerza las tendencias mas conservadoras en nuestra cultura, argumentamos que estas películas trabajan efectivamente para reforzar un guión cultural efectivo que gobierne el comportamiento romántico. Con la descripción de una cultura ideal como una posibilidad real, la comedia romántica alimenta el deseo utópico de "pasar por desapercibida la modernidad." /// [Chinese] (Unicode for Chinese abstract). /// [Japanese] (Unicode for Japanese abstract).	
10.2307/27905432	10.2307/27905432	ONE OF LOVE'S VICTORIES		Advocate of Peace (1847-1884)	3	46	1872-10-01T00:00:00Z	p. 4	World Affairs Institute	fla			
10.2307/27774546	10.2307/27774546	During Our Love Houses Were Completed	YEHUDA AMICHAI, Harold Schimmel	The American Poetry Review	2	2	1973-03-01T00:00:00Z	p. 32	American Poetry Review	fla			
10.1086/522852	10.1086/522852	Extravagant Beholding: Love, Ideal Bodies, and Particularity	Steven P. Hopkins	History of Religions	47	1	2007-08-01T00:00:00Z	pp. 1-50	The University of Chicago Press	fla			
10.2307/3713063	10.2307/3713063	"Ahrimanes." by Thomas Love Peacock	A. B. Young	The Modern Language Review	4	2	1909-01-01T00:00:00Z	pp. 217-230	Modern Humanities Research Association	fla			
10.2307/40681690	10.2307/40681690	TRUNCATED LOVE IN "CANDIDA" AND "HEARTBREAK HOUSE"	Harold Pagliaro	Shaw	24		2004-01-01T00:00:00Z	pp. 204-214	Penn State University Press	fla			
10.2307/4476014	10.2307/4476014	Puppy Love Martial 1,83 and C.I.L IV. 8898	Judith P. Hallett	Hermes	105	2	1977-01-01T00:00:00Z	pp. 252-253	Franz Steiner Verlag	fla			
10.2307/3050693	10.2307/3050693	"Taught by Love": The Origin of Painting Again	Frances Muecke	The Art Bulletin	81	2	1999-06-01T00:00:00Z	pp. 297-302	College Art Association	fla		The article presents a neglected early example of the visual representation of the legend of the Origin of Painting. As the frontispiece of the second English edition of Charles-Alphonse Dufresnoy's The Art of Painting (1716, republished 1750, 1769), it would have been very well known to English artists. There are good reasons for thinking that this example depends on that by François Chauveau, after Charles Le Brun, which was created specifically to accompany Charles Perrault's poetic version of La peinture (Paris, 1668). Perrault perhaps originated, from a hint in Junius, the detail of Love guiding the Corinthian Maid's drawing.	
10.2307/41208279	10.2307/41208279	Let Love Consume	DOROTHY LEE RICHARDSON	The American Scholar	26	3	1957-07-01T00:00:00Z	p. 324	The Phi Beta Kappa Society	fla			
10.2307/1576147	10.2307/1576147	My Love Affair with Art: Video and Installation Work	Steina Vasulka	Leonardo	28	1	1995-01-01T00:00:00Z	pp. 15-18	The MIT Press	fla		The author, a video art pioneer, discusses some of her works and the contexts in which they have been created. Her discussion ranges from the early days of video art in New York in the late 1960s to her most recent works.	
10.2307/40339963	10.2307/40339963	'This Rude Laboure': Lord Berners' Translation Methods and Prose Style in "Castell of Love"	Joyce Boro	Translation and Literature	13	1	2004-04-01T00:00:00Z	pp. 1-23	Edinburgh University Press	fla			
10.2307/25512806	10.2307/25512806	"The Loves of Cass McGuire": Friel's Wagnerian Music Drama	Ron Rollins, Nita Rollins	The Canadian Journal of Irish Studies	16	1	1990-07-01T00:00:00Z	pp. 24-32	Canadian Association of Irish Studies	fla		Brian Friel's "The Loves of Cass McGuire" is a Wagnerian music drama which records the desperate, evasive actions of three people (Trilbe, Ingram, and Cass) who, confined in an old people's home falsely named Eden House, rearrange and falsify their disappointing pasts. Each of the three lonely individuals, seated in an elevated, winged armchair, chants an extended rhapsody about his or her past life, a rhapsody that celebrates the travel, the wine and music, and the joy and love shared with an attentive companion. Selected passages from Richard Wagner's music dramas-Tannhauser, The Valkyrie, and Tristan and Isolde-provide the necessary melodic counterparts for these rhapsodies because Friel, like Wagner before him, is experimenting in this play with the reciprocal relationship between dramatic action and tonal harmonies. /// Les amours de Cass McGuire de Brian Friel est un drame musical wagnérien qui décrit les actes désespérés et evasifs de trois personnes (Trilbe, Ingram et Cass) qui, confinées dans un asile de vieillards faussement nommé La maison d'Eden, réarrangent et falsifient leurs passés décevants. Chacun de ces personnages solitaires, assis dans un fauteuil ailé surélevé, chante une rhapsodie prolongée sur sa vie et son passé, une rhapsodie qui célèbre les voyages, le vin et la musique et la joie et l'amour partagés avec un compagnon prévenant. Des passages choisis des drames musicaux de Richard Wagner comme Tanhauser, La Walkyrie et Tristan et Iseut, offrent les contreparties mélodiques nécessaires ces rhapsodies parce que Friel, tout comme Wagner avant lui, expériemente dans cette pièce la relation réciproque entre l'acte dramatique et les harmonies tonales.	
10.2307/4174560	10.2307/4174560	"My Wit Is Sharp; I Love No Taryinge": Urban Poetry and the "Parlement of Foules"	Craig E. Bertolet	Studies in Philology	93	4	1996-10-01T00:00:00Z	pp. 365-389	University of North Carolina Press	fla			
10.2307/1408916	10.2307/1408916	Wonder, Love, and Praise	John A. Gueguen	The Review of Politics	64	3	2002-07-01T00:00:00Z	pp. 535-537	Cambridge University Press, University of Notre Dame du lac on behalf of Review of Politics	brv	On the Unseriousness of Human Affairs|James V. Schall		
10.2307/20588330	10.2307/20588330	For Love	Robert Creeley	Poetry	98	2	1961-05-01T00:00:00Z	pp. 76-78	Poetry Foundation	fla			
10.2307/20415760	10.2307/20415760	Helping Mothers To Love Their Babies		The British Medical Journal	2	6087	1977-09-03T00:00:00Z	pp. 595-596	BMJ Publishing Group	fla			
10.2307/284392	10.2307/284392	Catullus, Pliny, and Love-Letters	Erik Gunderson	Transactions of the American Philological Association (1974-)	127		1997-01-01T00:00:00Z	pp. 201-231	The Johns Hopkins University Press	fla			
10.2307/40343804	10.2307/40343804	I Love You, I Hate You: Toward a Psychology of the Hindu "Deus Absconditus"	Thomas B. Ellis	International Journal of Hindu Studies	13	1	2009-04-01T00:00:00Z	pp. 1-23	Springer	fla			
10.2307/1686818	10.2307/1686818	Reconciliation Action No Love Feast for NSF	John Walsh	Science	213	4505	1981-07-17T00:00:00Z	p. 312	American Association for the Advancement of Science	nws			
10.2307/20543725	10.2307/20543725	Love		The Lotus Magazine	7	5	1916-02-01T00:00:00Z	p. 239		fla			
10.2307/40402836	10.2307/40402836	Black Women: Love, Labor, Sorrow, Struggle	Bettina Aptheker	Science & Society	51	4	1987-12-01T00:00:00Z	pp. 478-485	Guilford Press	brv	Labor of Love, Labor of Sorrow. Black Women, Work and the Family from Slavery to the Present|Jacqueline Jones, We Are Your Sisters. Black Women in the Nineteenth Century|Dorothy Sterling, When and Where I Enter ... The Impact of Black Women on Race and Sex in America|Paula Giddings		
10.2307/20514725	10.2307/20514725	Love, the Philosophy of Life. IV: Eternal Life	H. V. Gill	The Irish Monthly	68	804	1940-06-01T00:00:00Z	pp. 310-314	Irish Jesuit Province	fla			
10.2307/1208361	10.2307/1208361	The Bonds of Love and the Boundaries of Self in Toni Morrison's "Beloved"	Barbara Schapiro	Contemporary Literature	32	2	1991-07-01T00:00:00Z	pp. 194-210	University of Wisconsin Press	fla			
10.2307/3041293	10.2307/3041293	Love	Leo Hines	Negro American Literature Forum	7	3	1973-10-01T00:00:00Z	p. 104	St. Louis University	fla			
10.2307/510545	10.2307/510545	Nicholas Love--A Fifteenth-Century Translator	Elizabeth Zeeman	The Review of English Studies	6	22	1955-04-01T00:00:00Z	pp. 113-127	Oxford University Press	fla			
10.2307/20477986	10.2307/20477986	The Family of Love and Its Enemies	Christopher Carter	The Sixteenth Century Journal	37	3	2006-10-01T00:00:00Z	pp. 651-672	The Sixteenth Century Journal	fla		This article examines the Family of Love in sixteenth-century England, especially the period of intense hostility it engendered from 1578 to 1581. During these years, foes attacked this minor sect as a significant threat to the English church and state. The decline in the assault upon the Family has been attributed by many historians to a concurrent decline in the sect. However, recent research has demonstrated that the Family survived even after 1581, requiring a new explanation for the end of the attacks. The outburst of hostility was an element in a wider struggle for political influence which began with the fall of Archbishop Grindal in 1577. Puritans sought to magnify the threat posed by the apparently Catholic Family to indirectly assail their conservative enemies. The attacks ended not because of the elimination of the Family, but due to a political shift which allowed conservatives to silence their puritan foes.	
10.2307/669438	10.2307/669438	Love Magic, Menstrual Taboos, and the Facts of Geography	Philip K. Bock	American Anthropologist	69	2	1967-04-01T00:00:00Z	pp. 213-217	American Anthropological Association, Wiley	fla			
10.2307/437955	10.2307/437955	Charlotte Eliot and "The Love Song of J. Alfred Prufrock"	Lee Oser	Modern Philology	94	2	1996-11-01T00:00:00Z	pp. 190-200	The University of Chicago Press	fla			
10.2307/41604161	10.2307/41604161	Erratta: Love Styles: A Cross-Cultural Study of British, Indian, and Portuguese College Students		Journal of Comparative Family Studies	38	3	2007-07-01T00:00:00Z		Dr. George Kurian	fla			
10.2307/20836146	10.2307/20836146	Dykes To Watch Out For: LOVE and WORK part I	Alison Bechdel	Off Our Backs	28	7	1998-07-01T00:00:00Z	p. 16	off our backs, inc.	fla			
10.2307/29792195	10.2307/29792195	"TO LOVE AND TO SUFFER": THE DEVELOPMENT OF THE RELIGIOUS CONGREGATIONS FOR WOMEN IN THE PHILIPPINES DURING THE SPANISH ERA (1565-1898)	Luciano P.R. Santiago	Philippine Quarterly of Culture and Society	24	1/2	1996-03-01T00:00:00Z	pp. 119-179	University of San Carlos Publications	fla			
10.2307/20056141	10.2307/20056141	Stalking the Green Meat Eaters: Why Ecologists Love These Toothless Predators	Susan Milius	Science News	172	14	2007-10-06T00:00:00Z	pp. 218, 220	Society for Science & the Public	fla			
10.2307/25649704	10.2307/25649704	Will's World: Love Reigns at the Reference Desk	Will Manley	American Libraries	36	8	2005-09-01T00:00:00Z	p. 104	American Library Association	mis			
10.2307/20875639	10.2307/20875639	« Love it or leave it »: L'Amérique en rouge-gris-bleu dans "Rabbit Redux" de John Updike	Sylvie Mathé	Revue française d'études américaines		105	2005-09-01T00:00:00Z	pp. 93-109	Editions Belin	fla		In Rabbit Redux, Updike tackles the political, social, racial and gender upheavals of the late 60s, a period "which made us stare at our bloody hands and confront the rapacious motives underneath the tricolor slogans and question our favored-nation status under God." Considered by its author "the most violent and bizarre" of the Rabbit Angstrom tetralogy, Rabbit Redux fuses history and fiction in an apocalyptic narrative. Using the original 1971 hardback cover (with a background of red, grey and blue stripes) as its starting point, this essay focuses on the semiotic use of chromatic values and color imagery that transforms this chronicle of troubled times into a visionary happening: first, the fading of the starless banner in the spectral blankness of this summer of the moon; then the transformation of the green pastures of America into the deathly emblem of a world at war, at home and abroad; and finally the crossing of the color line in which the black man becomes the white of the page. The novel's ambiguity culminates in an open, suspended, interrogative ending which maintains the reader in the grey zone of an unstable and complex truth.	
10.2307/23341869	10.2307/23341869	Love	P. Srinivasa Rao	Indian Literature	42	4 (186)	1998-07-01T00:00:00Z	p. 76	Sahitya Akademi	fla			
10.2307/1373003	10.2307/1373003	Love's Litigation: Plato's Phaedrus as Trial by Jury	Susan E. Kinz	Duke Law Journal	46	4	1997-02-01T00:00:00Z	pp. 815-864	Duke University School of Law	fla			
10.2307/40059769	10.2307/40059769	Faith, Hope, and Love in the Poetry of Ernest Sandeen	Bert Hornback	Religion & Literature	31	2	1999-07-01T00:00:00Z	pp. 65-78	The University of Notre Dame	fla			
10.2307/3044658	10.2307/3044658	Being in Love in Phineas Finn / Phineas Redux: Desire, Devotion, Consolation	Robert M. Polhemus	Nineteenth-Century Fiction	37	3	1982-12-01T00:00:00Z	pp. 383-395	University of California Press	fla			
10.2307/705663	10.2307/705663	Lucretius and the Love-Philtre	L. P. Wilkinson	The Classical Review	63	2	1949-09-01T00:00:00Z	pp. 47-48	Cambridge University Press, The Classical Association	fla			
10.2307/20140426	10.2307/20140426	Love, Ceremony and Daydream in Sappho's Lyrics	Robert Bagg	Arion	3	3	1964-10-01T00:00:00Z	pp. 44-82	Trustees of Boston University	fla			
10.2307/27781901	10.2307/27781901	Love's That Simple	RALPH ANGEL	The American Poetry Review	24	6	1995-11-01T00:00:00Z	p. 6	American Poetry Review	fla			
10.2307/40622993	10.2307/40622993	I SHOULD LIKE TO WRITE A LOVE POEM	CHEN S. YUAN	Prairie Schooner	1	4	1927-10-01T00:00:00Z	p. 246	University of Nebraska Press	fla			
